Date,Group,d2H,TWC
12/9/19,Drought-sensitive understory,37.78746618,33.46839072
12/10/19,Drought-tolerant canopy,-25.84025222,66.57982407
12/10/19,Drought-sensitive canopy,270.1923246,61.62988182
12/10/19,Drought-tolerant understory,-35.29724728,NA
12/10/19,Drought-sensitive understory,40.8330866,33.51702311
12/11/19,Drought-tolerant canopy,-22.68189464,67.23152093
12/11/19,Drought-sensitive canopy,291.2050612,60.04846103
12/11/19,Drought-tolerant understory,-33.67528715,NA
12/11/19,Drought-sensitive understory,43.76704262,33.51324492
12/12/19,Drought-tolerant canopy,-19.50408049,67.25320614
12/12/19,Drought-sensitive canopy,307.9320984,59.32596936
12/12/19,Drought-tolerant understory,-32.39481038,NA
12/12/19,Drought-sensitive understory,46.54024519,34.48649458
12/13/19,Drought-tolerant canopy,-16.30331171,66.76202999
12/13/19,Drought-sensitive canopy,320.6463879,61.74568102
12/13/19,Drought-tolerant understory,-31.44492727,NA
12/13/19,Drought-sensitive understory,49.10360527,34.93259796
12/14/19,Drought-tolerant canopy,-13.0760902,67.17562484
12/14/19,Drought-sensitive canopy,329.6208816,63.95545289
12/14/19,Drought-tolerant understory,-30.83101108,NA
12/14/19,Drought-sensitive understory,51.75289338,34.28840631
12/15/19,Drought-tolerant canopy,-9.798202093,67.46017769
12/15/19,Drought-sensitive canopy,333.602442,64.95858283
12/15/19,Drought-tolerant understory,-30.56568535,NA
12/15/19,Drought-sensitive understory,54.62691545,34.76161852
12/16/19,Drought-tolerant canopy,-6.461995437,67.32521663
12/16/19,Drought-sensitive canopy,331.9024423,64.93621062
12/16/19,Drought-tolerant understory,-30.6615736,NA
12/16/19,Drought-sensitive understory,57.44113555,35.40670377
12/17/19,Drought-tolerant canopy,-3.088815011,67.25290199
12/17/19,Drought-sensitive canopy,325.6406,63.8609994
12/17/19,Drought-tolerant understory,-31.13129935,NA
12/17/19,Drought-sensitive understory,59.91101772,36.07754817
12/18/19,Drought-tolerant canopy,0.299994404,67.44590908
12/18/19,Drought-sensitive canopy,315.9366328,62.41046359
12/18/19,Drought-tolerant understory,-32.64703917,NA
12/18/19,Drought-sensitive understory,61.75202602,36.4969056
12/19/19,Drought-tolerant canopy,3.683088027,67.65628578
12/19/19,Drought-sensitive canopy,303.9102582,61.79531939
12/19/19,Drought-tolerant understory,-35.24575276,NA
12/19/19,Drought-sensitive understory,62.9797724,37.79654908
12/20/19,Drought-tolerant canopy,7.039121076,67.08848747
12/20/19,Drought-sensitive canopy,284.1626857,65.50407666
12/20/19,Drought-tolerant understory,-37.98723833,NA
12/20/19,Drought-sensitive understory,63.75854868,38.41251383
12/21/19,Drought-tolerant canopy,10.12709346,67.28976756
12/21/19,Drought-sensitive canopy,254.4047303,67.64136747
12/21/19,Drought-tolerant understory,-39.93129406,NA
12/21/19,Drought-sensitive understory,64.02683879,39.11124253
12/22/19,Drought-tolerant canopy,12.90965858,67.5966048
12/22/19,Drought-sensitive canopy,220.4205172,69.1980572
12/22/19,Drought-tolerant understory,-41.23782388,NA
12/22/19,Drought-sensitive understory,63.72312665,39.05815206
12/23/19,Drought-tolerant canopy,15.67095185,68.98283349
12/23/19,Drought-sensitive canopy,187.994172,70.84342335
12/23/19,Drought-tolerant understory,-42.59428865,NA
12/23/19,Drought-sensitive understory,62.67353969,39.6618402
12/24/19,Drought-tolerant canopy,18.69510871,67.95199352
12/24/19,Drought-sensitive canopy,162.9098199,70.80114254
12/24/19,Drought-tolerant understory,-43.85182205,NA
12/24/19,Drought-sensitive understory,60.9388942,39.32839387
12/25/19,Drought-tolerant canopy,22.2662646,67.43669163
12/25/19,Drought-sensitive canopy,142.1832141,71.33695797
12/25/19,Drought-tolerant understory,-44.86155777,NA
12/25/19,Drought-sensitive understory,58.80970739,39.98339493
12/26/19,Drought-tolerant canopy,26.72793724,67.81160964
12/26/19,Drought-sensitive canopy,119.89416,71.26032865
12/26/19,Drought-tolerant understory,-45.47462946,NA
12/26/19,Drought-sensitive understory,56.5764965,40.33512634
12/27/19,Drought-tolerant canopy,31.94824942,68.90801338
12/27/19,Drought-sensitive canopy,97.42286148,71.88304859
12/27/19,Drought-tolerant understory,-45.58851047,NA
12/27/19,Drought-sensitive understory,54.52977875,43.13631189
12/28/19,Drought-tolerant canopy,37.49824411,69.62892202
12/28/19,Drought-sensitive canopy,76.14952217,72.03138103
12/28/19,Drought-tolerant understory,-45.32251844,NA
12/28/19,Drought-sensitive understory,52.18077143,46.6568823
12/29/19,Drought-tolerant canopy,42.94896427,68.6927153
12/29/19,Drought-sensitive canopy,57.45434589,72.1986825
12/29/19,Drought-tolerant understory,-44.86055353,NA
12/29/19,Drought-sensitive understory,49.17024015,48.11267716
12/30/19,Drought-tolerant canopy,47.87145289,68.86404897
12/30/19,Drought-sensitive canopy,42.71753642,72.19435978
12/30/19,Drought-tolerant understory,-44.38651586,NA
12/30/19,Drought-sensitive understory,45.98302455,49.556456
12/31/19,Drought-tolerant canopy,51.83675294,69.511125
12/31/19,Drought-sensitive canopy,32.45897258,72.43562508
12/31/19,Drought-tolerant understory,-44.08430557,NA
12/31/19,Drought-sensitive understory,43.10396425,52.0255653
1/1/20,Drought-tolerant canopy,55.39663953,69.60810049
1/1/20,Drought-sensitive canopy,25.37308552,72.34510223
1/1/20,Drought-tolerant understory,-43.88309116,NA
1/1/20,Drought-sensitive understory,40.47922711,54.62002478
1/2/20,Drought-tolerant canopy,59.11247892,69.53788382
1/2/20,Drought-sensitive canopy,20.1019075,72.56586712
1/2/20,Drought-tolerant understory,-43.62159618,NA
1/2/20,Drought-sensitive understory,37.74801429,57.07358096
1/3/20,Drought-tolerant canopy,62.56970086,69.54064864
1/3/20,Drought-sensitive canopy,15.28747078,72.46556571
1/3/20,Drought-tolerant understory,-43.34805328,NA
1/3/20,Drought-sensitive understory,34.93471545,58.50278629
1/4/20,Drought-tolerant canopy,65.3537351,69.60363544
1/4/20,Drought-sensitive canopy,9.571807648,72.40308197
1/4/20,Drought-tolerant understory,-43.11069513,NA
1/4/20,Drought-sensitive understory,32.06372021,60.41216368
1/5/20,Drought-tolerant canopy,67.05001138,69.74422773
1/5/20,Drought-sensitive canopy,3.537910758,72.63263248
1/5/20,Drought-tolerant understory,-42.9577544,NA
1/5/20,Drought-sensitive understory,29.15941823,63.45607831
1/6/20,Drought-tolerant canopy,67.8447392,69.76742362
1/6/20,Drought-sensitive canopy,-1.399737333,72.61425439
1/6/20,Drought-tolerant understory,-42.93746375,NA
1/6/20,Drought-sensitive understory,26.24619914,64.45778783
1/7/20,Drought-tolerant canopy,68.18623667,69.94340271
1/7/20,Drought-sensitive canopy,-5.351869541,72.79211567
1/7/20,Drought-tolerant understory,-43.09805587,NA
1/7/20,Drought-sensitive understory,23.34845258,66.16657467
1/8/20,Drought-tolerant canopy,68.05309643,70.06819938
1/8/20,Drought-sensitive canopy,-8.42921878,72.71410181
1/8/20,Drought-tolerant understory,-43.39398687,NA
1/8/20,Drought-sensitive understory,20.4905682,67.05759911
1/9/20,Drought-tolerant canopy,67.42391115,70.20720994
1/9/20,Drought-sensitive canopy,-10.74251797,72.78545826
1/9/20,Drought-tolerant understory,-43.74893248,NA
1/9/20,Drought-sensitive understory,17.69693564,68.97544658
1/10/20,Drought-tolerant canopy,66.27727347,71.0989837
1/10/20,Drought-sensitive canopy,-12.40250001,72.77843484
1/10/20,Drought-tolerant understory,-44.16495469,NA
1/10/20,Drought-sensitive understory,14.99194453,70.12699822
1/11/20,Drought-tolerant canopy,64.59177603,71.64586614
1/11/20,Drought-sensitive canopy,-13.51989783,73.00345054
1/11/20,Drought-tolerant understory,-44.64411552,NA
1/11/20,Drought-sensitive understory,12.39998452,71.16182628
1/12/20,Drought-tolerant canopy,62.34601149,71.67799076
1/12/20,Drought-sensitive canopy,-14.20544435,73.22983927
1/12/20,Drought-tolerant understory,-45.18847698,NA
1/12/20,Drought-sensitive understory,9.945445242,72.21118522
1/13/20,Drought-tolerant canopy,59.51857249,71.69011092
1/13/20,Drought-sensitive canopy,-14.37489135,73.40876131
1/13/20,Drought-tolerant understory,-45.80010108,NA
1/13/20,Drought-sensitive understory,7.652716348,72.41826658
1/14/20,Drought-tolerant canopy,56.08805169,71.84652664
1/14/20,Drought-sensitive canopy,-13.87245216,73.805993
1/14/20,Drought-tolerant understory,-46.48104983,NA
1/14/20,Drought-sensitive understory,5.546187475,74.30966108
1/15/20,Drought-tolerant canopy,52.05868723,71.88474973
1/15/20,Drought-sensitive canopy,-12.70155194,73.80687605
1/15/20,Drought-tolerant understory,-47.23338525,NA
1/15/20,Drought-sensitive understory,3.650248264,74.48957506
1/16/20,Drought-tolerant canopy,47.45683036,71.64215879
1/16/20,Drought-sensitive canopy,-10.86561587,74.01119705
1/16/20,Drought-tolerant understory,-48.05916934,NA
1/16/20,Drought-sensitive understory,1.936814544,75.89603158
1/17/20,Drought-tolerant canopy,42.2942434,68.58843193
1/17/20,Drought-sensitive canopy,-8.368069105,73.86681621
1/17/20,Drought-tolerant understory,-48.96046412,NA
1/17/20,Drought-sensitive understory,0.348643418,76.20830162
1/18/20,Drought-tolerant canopy,36.58268864,69.57201734
1/18/20,Drought-sensitive canopy,-5.212336833,73.95439596
1/18/20,Drought-tolerant understory,-49.93933159,NA
1/18/20,Drought-sensitive understory,-1.133613565,76.62758095
1/19/20,Drought-tolerant canopy,30.33392842,69.97035765
1/19/20,Drought-sensitive canopy,-1.40184422,73.8948926
1/19/20,Drought-tolerant understory,-50.99783377,NA
1/19/20,Drought-sensitive understory,-2.529304854,76.69882489
1/20/20,Drought-tolerant canopy,NA,71.25980794
1/20/20,Drought-sensitive canopy,NA,74.14442051
1/20/20,Drought-tolerant understory,NA,NA
1/20/20,Drought-sensitive understory,NA,77.35470925
1/21/20,Drought-tolerant canopy,NA,72.10315113
1/21/20,Drought-sensitive canopy,NA,74.0527277
1/21/20,Drought-tolerant understory,NA,NA
1/21/20,Drought-sensitive understory,NA,77.26413202
1/22/20,Drought-tolerant canopy,NA,68.73151119
1/22/20,Drought-sensitive canopy,NA,74.21953703
1/22/20,Drought-tolerant understory,NA,NA
1/22/20,Drought-sensitive understory,NA,77.8372537
1/23/20,Drought-tolerant canopy,NA,71.55571003
1/23/20,Drought-sensitive canopy,NA,74.09462927
1/23/20,Drought-tolerant understory,NA,NA
1/23/20,Drought-sensitive understory,NA,77.80236735
1/24/20,Drought-tolerant canopy,NA,72.15304388
1/24/20,Drought-sensitive canopy,NA,74.27185367
1/24/20,Drought-tolerant understory,NA,NA
1/24/20,Drought-sensitive understory,NA,78.10335394
1/25/20,Drought-tolerant canopy,NA,72.33366246
1/25/20,Drought-sensitive canopy,NA,74.22659065
1/25/20,Drought-tolerant understory,NA,NA
1/25/20,Drought-sensitive understory,NA,77.99588962
1/26/20,Drought-tolerant canopy,NA,72.76880558
1/26/20,Drought-sensitive canopy,NA,74.35483835
1/26/20,Drought-tolerant understory,NA,NA
1/26/20,Drought-sensitive understory,NA,78.29842451
1/27/20,Drought-tolerant canopy,NA,73.77915764
1/27/20,Drought-sensitive canopy,NA,74.29226705
1/27/20,Drought-tolerant understory,NA,NA
1/27/20,Drought-sensitive understory,NA,78.04535096
1/28/20,Drought-tolerant canopy,NA,73.43048162
1/28/20,Drought-sensitive canopy,NA,74.39996066
1/28/20,Drought-tolerant understory,NA,NA
1/28/20,Drought-sensitive understory,NA,78.34298092
1/29/20,Drought-tolerant canopy,NA,73.4134071
1/29/20,Drought-sensitive canopy,NA,74.2730632
1/29/20,Drought-tolerant understory,NA,NA
1/29/20,Drought-sensitive understory,NA,78.22161345
1/30/20,Drought-tolerant canopy,NA,73.46516107
1/30/20,Drought-sensitive canopy,NA,74.34781933
1/30/20,Drought-tolerant understory,NA,NA
1/30/20,Drought-sensitive understory,NA,78.45560181
1/31/20,Drought-tolerant canopy,NA,74.2759122
1/31/20,Drought-sensitive canopy,NA,74.35317125
1/31/20,Drought-tolerant understory,NA,NA
1/31/20,Drought-sensitive understory,NA,78.2841856
