Date,Group,TWC
12/25/19,Drought-sensitive canopy,71.336958
12/26/19,Drought-sensitive canopy,71.2603287
12/27/19,Drought-sensitive canopy,71.8830486
12/28/19,Drought-sensitive canopy,72.031381
12/29/19,Drought-sensitive canopy,72.1986825
12/30/19,Drought-sensitive canopy,72.1943598
12/31/19,Drought-sensitive canopy,72.4356251
1/1/20,Drought-sensitive canopy,72.3451022
1/2/20,Drought-sensitive canopy,72.5658671
1/3/20,Drought-sensitive canopy,72.4655657
1/4/20,Drought-sensitive canopy,72.403082
1/5/20,Drought-sensitive canopy,72.6326325
1/6/20,Drought-sensitive canopy,72.6142544
1/7/20,Drought-sensitive canopy,72.7921157
1/8/20,Drought-sensitive canopy,72.7141018
1/9/20,Drought-sensitive canopy,72.7854583
1/10/20,Drought-sensitive canopy,72.7784348
1/11/20,Drought-sensitive canopy,73.0034505
1/12/20,Drought-sensitive canopy,73.2298393
1/13/20,Drought-sensitive canopy,73.4087613
1/14/20,Drought-sensitive canopy,73.805993
1/15/20,Drought-sensitive canopy,73.8068761
1/16/20,Drought-sensitive canopy,74.0111971
1/17/20,Drought-sensitive canopy,73.8668162
1/18/20,Drought-sensitive canopy,73.954396
1/19/20,Drought-sensitive canopy,73.8948926
1/20/20,Drought-sensitive canopy,74.1444205
1/21/20,Drought-sensitive canopy,74.0527277
1/22/20,Drought-sensitive canopy,74.219537
1/23/20,Drought-sensitive canopy,74.0946293
1/24/20,Drought-sensitive canopy,74.2718537
1/25/20,Drought-sensitive canopy,74.2265907
1/26/20,Drought-sensitive canopy,74.3548384
1/27/20,Drought-sensitive canopy,74.2922671
1/28/20,Drought-sensitive canopy,74.3999607
1/29/20,Drought-sensitive canopy,74.2730632
1/30/20,Drought-sensitive canopy,74.3478193
1/31/20,Drought-sensitive canopy,74.3531713
9/1/19,Drought-tolerant canopy,70.8840783
9/2/19,Drought-tolerant canopy,70.7465358
9/3/19,Drought-tolerant canopy,70.9071715
9/4/19,Drought-tolerant canopy,71.2133918
9/5/19,Drought-tolerant canopy,71.1581785
9/6/19,Drought-tolerant canopy,71.5837916
9/7/19,Drought-tolerant canopy,71.9767701
9/8/19,Drought-tolerant canopy,71.4471198
9/9/19,Drought-tolerant canopy,70.9726365
9/10/19,Drought-tolerant canopy,70.8118922
9/11/19,Drought-tolerant canopy,70.9977682
9/12/19,Drought-tolerant canopy,70.8381038
9/13/19,Drought-tolerant canopy,70.7358005
9/14/19,Drought-tolerant canopy,70.6264183
9/15/19,Drought-tolerant canopy,71.0918059
9/16/19,Drought-tolerant canopy,70.792882
9/17/19,Drought-tolerant canopy,70.5339699
9/18/19,Drought-tolerant canopy,70.4068899
9/19/19,Drought-tolerant canopy,70.4303555
9/20/19,Drought-tolerant canopy,70.4063694
9/21/19,Drought-tolerant canopy,70.5422863
9/22/19,Drought-tolerant canopy,70.454507
9/23/19,Drought-tolerant canopy,70.9451635
9/24/19,Drought-tolerant canopy,71.6127653
9/25/19,Drought-tolerant canopy,73.1579029
9/26/19,Drought-tolerant canopy,73.5124181
9/27/19,Drought-tolerant canopy,73.7820385
9/28/19,Drought-tolerant canopy,73.8026173
9/29/19,Drought-tolerant canopy,73.305775
9/30/19,Drought-tolerant canopy,72.8389941
10/1/19,Drought-tolerant canopy,73.1631846
10/2/19,Drought-tolerant canopy,73.5631935
10/3/19,Drought-tolerant canopy,73.790148
10/4/19,Drought-tolerant canopy,74.0531188
10/5/19,Drought-tolerant canopy,74.1524538
10/6/19,Drought-tolerant canopy,73.955475
10/7/19,Drought-tolerant canopy,73.8047079
10/8/19,Drought-tolerant canopy,72.9403395
10/9/19,Drought-tolerant canopy,72.6743683
10/10/19,Drought-tolerant canopy,72.0844544
10/11/19,Drought-tolerant canopy,71.6386417
10/12/19,Drought-tolerant canopy,71.5107519
10/13/19,Drought-tolerant canopy,71.160052
10/14/19,Drought-tolerant canopy,71.345473
10/15/19,Drought-tolerant canopy,71.2856731
10/16/19,Drought-tolerant canopy,71.0476659
10/17/19,Drought-tolerant canopy,70.4538378
10/18/19,Drought-tolerant canopy,69.3643303
10/19/19,Drought-tolerant canopy,70.2913035
10/20/19,Drought-tolerant canopy,70.6950359
10/21/19,Drought-tolerant canopy,70.6185488
10/22/19,Drought-tolerant canopy,69.5862967
10/23/19,Drought-tolerant canopy,69.1651704
10/24/19,Drought-tolerant canopy,68.7573229
10/25/19,Drought-tolerant canopy,68.6284786
10/26/19,Drought-tolerant canopy,68.5236282
10/27/19,Drought-tolerant canopy,68.3594599
10/28/19,Drought-tolerant canopy,68.213002
10/29/19,Drought-tolerant canopy,68.0963117
10/30/19,Drought-tolerant canopy,67.854981
10/31/19,Drought-tolerant canopy,67.7981731
11/1/19,Drought-tolerant canopy,67.9305613
11/2/19,Drought-tolerant canopy,68.2398077
11/3/19,Drought-tolerant canopy,68.3821917
11/4/19,Drought-tolerant canopy,68.3380798
11/5/19,Drought-tolerant canopy,68.4689171
11/6/19,Drought-tolerant canopy,68.4921029
11/7/19,Drought-tolerant canopy,68.1354585
11/8/19,Drought-tolerant canopy,68.1289706
11/9/19,Drought-tolerant canopy,68.0908809
11/10/19,Drought-tolerant canopy,68.1939821
11/11/19,Drought-tolerant canopy,68.0010525
11/12/19,Drought-tolerant canopy,67.9633056
11/13/19,Drought-tolerant canopy,67.3500457
11/14/19,Drought-tolerant canopy,66.8902932
11/15/19,Drought-tolerant canopy,67.076372
11/16/19,Drought-tolerant canopy,66.6541889
11/17/19,Drought-tolerant canopy,66.3723807
11/18/19,Drought-tolerant canopy,66.754347
11/19/19,Drought-tolerant canopy,66.2830084
11/20/19,Drought-tolerant canopy,67.6245978
11/21/19,Drought-tolerant canopy,67.4621675
11/22/19,Drought-tolerant canopy,67.3570375
11/23/19,Drought-tolerant canopy,67.1855726
11/24/19,Drought-tolerant canopy,66.7847624
11/25/19,Drought-tolerant canopy,67.7455319
11/26/19,Drought-tolerant canopy,67.5591081
11/27/19,Drought-tolerant canopy,68.5940633
11/28/19,Drought-tolerant canopy,67.6865096
11/29/19,Drought-tolerant canopy,68.1553476
11/30/19,Drought-tolerant canopy,67.7058066
12/1/19,Drought-tolerant canopy,68.0825463
12/2/19,Drought-tolerant canopy,68.4036702
12/3/19,Drought-tolerant canopy,67.9568462
12/4/19,Drought-tolerant canopy,67.39537
12/5/19,Drought-tolerant canopy,67.3289471
12/6/19,Drought-tolerant canopy,67.0806996
12/7/19,Drought-tolerant canopy,66.9987935
12/8/19,Drought-tolerant canopy,67.0082245
12/9/19,Drought-tolerant canopy,67.8363725
12/10/19,Drought-tolerant canopy,66.5798241
12/11/19,Drought-tolerant canopy,67.2315209
12/12/19,Drought-tolerant canopy,67.2532061
12/13/19,Drought-tolerant canopy,66.76203
12/14/19,Drought-tolerant canopy,67.1756248
12/15/19,Drought-tolerant canopy,67.4601777
12/16/19,Drought-tolerant canopy,67.3252166
12/17/19,Drought-tolerant canopy,67.252902
12/18/19,Drought-tolerant canopy,67.4459091
12/19/19,Drought-tolerant canopy,67.6562858
12/20/19,Drought-tolerant canopy,67.0884875
12/21/19,Drought-tolerant canopy,67.2897676
12/22/19,Drought-tolerant canopy,67.5966048
12/23/19,Drought-tolerant canopy,68.9828335
12/24/19,Drought-tolerant canopy,67.9519935
12/25/19,Drought-tolerant canopy,67.4366916
12/26/19,Drought-tolerant canopy,67.8116096
12/27/19,Drought-tolerant canopy,68.9080134
12/28/19,Drought-tolerant canopy,69.628922
12/29/19,Drought-tolerant canopy,68.6927153
12/30/19,Drought-tolerant canopy,68.864049
12/31/19,Drought-tolerant canopy,69.511125
1/1/20,Drought-tolerant canopy,69.6081005
1/2/20,Drought-tolerant canopy,69.5378838
1/3/20,Drought-tolerant canopy,69.5406486
1/4/20,Drought-tolerant canopy,69.6036354
1/5/20,Drought-tolerant canopy,69.7442277
1/6/20,Drought-tolerant canopy,69.7674236
1/7/20,Drought-tolerant canopy,69.9434027
1/8/20,Drought-tolerant canopy,70.0681994
1/9/20,Drought-tolerant canopy,70.2072099
1/10/20,Drought-tolerant canopy,71.0989837
1/11/20,Drought-tolerant canopy,71.6458661
1/12/20,Drought-tolerant canopy,71.6779908
1/13/20,Drought-tolerant canopy,71.6901109
1/14/20,Drought-tolerant canopy,71.8465266
1/15/20,Drought-tolerant canopy,71.8847497
1/16/20,Drought-tolerant canopy,71.6421588
1/17/20,Drought-tolerant canopy,68.5884319
1/18/20,Drought-tolerant canopy,69.5720173
1/19/20,Drought-tolerant canopy,69.9703577
1/20/20,Drought-tolerant canopy,71.2598079
1/21/20,Drought-tolerant canopy,72.1031511
1/22/20,Drought-tolerant canopy,68.7315112
1/23/20,Drought-tolerant canopy,71.55571
1/24/20,Drought-tolerant canopy,72.1530439
1/25/20,Drought-tolerant canopy,72.3336625
1/26/20,Drought-tolerant canopy,72.7688056
1/27/20,Drought-tolerant canopy,73.7791576
1/28/20,Drought-tolerant canopy,73.4304816
1/29/20,Drought-tolerant canopy,73.4134071
1/30/20,Drought-tolerant canopy,73.4651611
1/31/20,Drought-tolerant canopy,74.2759122
9/1/19,Drought-tolerant understory,NA
9/2/19,Drought-tolerant understory,NA
9/3/19,Drought-tolerant understory,NA
9/4/19,Drought-tolerant understory,NA
9/5/19,Drought-tolerant understory,NA
9/6/19,Drought-tolerant understory,NA
9/7/19,Drought-tolerant understory,NA
9/8/19,Drought-tolerant understory,NA
9/9/19,Drought-tolerant understory,NA
9/10/19,Drought-tolerant understory,NA
9/11/19,Drought-tolerant understory,NA
9/12/19,Drought-tolerant understory,NA
9/13/19,Drought-tolerant understory,NA
9/14/19,Drought-tolerant understory,NA
9/15/19,Drought-tolerant understory,NA
9/16/19,Drought-tolerant understory,NA
9/17/19,Drought-tolerant understory,NA
9/18/19,Drought-tolerant understory,NA
9/19/19,Drought-tolerant understory,NA
9/20/19,Drought-tolerant understory,NA
9/21/19,Drought-tolerant understory,NA
9/22/19,Drought-tolerant understory,NA
9/23/19,Drought-tolerant understory,NA
9/24/19,Drought-tolerant understory,NA
9/25/19,Drought-tolerant understory,NA
9/26/19,Drought-tolerant understory,NA
9/27/19,Drought-tolerant understory,NA
9/28/19,Drought-tolerant understory,NA
9/29/19,Drought-tolerant understory,NA
9/30/19,Drought-tolerant understory,NA
10/1/19,Drought-tolerant understory,NA
10/2/19,Drought-tolerant understory,NA
10/3/19,Drought-tolerant understory,NA
10/4/19,Drought-tolerant understory,NA
10/5/19,Drought-tolerant understory,NA
10/6/19,Drought-tolerant understory,NA
10/7/19,Drought-tolerant understory,NA
10/8/19,Drought-tolerant understory,NA
10/9/19,Drought-tolerant understory,NA
10/10/19,Drought-tolerant understory,NA
10/11/19,Drought-tolerant understory,NA
10/12/19,Drought-tolerant understory,NA
10/13/19,Drought-tolerant understory,NA
10/14/19,Drought-tolerant understory,NA
10/15/19,Drought-tolerant understory,NA
10/16/19,Drought-tolerant understory,NA
10/17/19,Drought-tolerant understory,NA
10/18/19,Drought-tolerant understory,NA
10/19/19,Drought-tolerant understory,NA
10/20/19,Drought-tolerant understory,NA
10/21/19,Drought-tolerant understory,NA
10/22/19,Drought-tolerant understory,NA
10/23/19,Drought-tolerant understory,NA
10/24/19,Drought-tolerant understory,NA
10/25/19,Drought-tolerant understory,NA
10/26/19,Drought-tolerant understory,NA
10/27/19,Drought-tolerant understory,NA
10/28/19,Drought-tolerant understory,NA
10/29/19,Drought-tolerant understory,NA
10/30/19,Drought-tolerant understory,NA
10/31/19,Drought-tolerant understory,NA
11/1/19,Drought-tolerant understory,NA
11/2/19,Drought-tolerant understory,NA
11/3/19,Drought-tolerant understory,NA
11/4/19,Drought-tolerant understory,NA
11/5/19,Drought-tolerant understory,NA
11/6/19,Drought-tolerant understory,NA
11/7/19,Drought-tolerant understory,NA
11/8/19,Drought-tolerant understory,NA
11/9/19,Drought-tolerant understory,NA
11/10/19,Drought-tolerant understory,NA
11/11/19,Drought-tolerant understory,NA
11/12/19,Drought-tolerant understory,NA
11/13/19,Drought-tolerant understory,NA
11/14/19,Drought-tolerant understory,NA
11/15/19,Drought-tolerant understory,NA
11/16/19,Drought-tolerant understory,NA
11/17/19,Drought-tolerant understory,NA
11/18/19,Drought-tolerant understory,NA
11/19/19,Drought-tolerant understory,NA
11/20/19,Drought-tolerant understory,NA
11/21/19,Drought-tolerant understory,NA
11/22/19,Drought-tolerant understory,NA
11/23/19,Drought-tolerant understory,NA
11/24/19,Drought-tolerant understory,NA
11/25/19,Drought-tolerant understory,NA
11/26/19,Drought-tolerant understory,NA
11/27/19,Drought-tolerant understory,NA
11/28/19,Drought-tolerant understory,NA
11/29/19,Drought-tolerant understory,NA
11/30/19,Drought-tolerant understory,NA
12/1/19,Drought-tolerant understory,NA
12/2/19,Drought-tolerant understory,NA
12/3/19,Drought-tolerant understory,NA
12/4/19,Drought-tolerant understory,NA
12/5/19,Drought-tolerant understory,NA
12/6/19,Drought-tolerant understory,NA
12/7/19,Drought-tolerant understory,NA
12/8/19,Drought-tolerant understory,NA
12/9/19,Drought-tolerant understory,NA
12/10/19,Drought-tolerant understory,NA
12/11/19,Drought-tolerant understory,NA
12/12/19,Drought-tolerant understory,NA
12/13/19,Drought-tolerant understory,NA
12/14/19,Drought-tolerant understory,NA
12/15/19,Drought-tolerant understory,NA
12/16/19,Drought-tolerant understory,NA
12/17/19,Drought-tolerant understory,NA
12/18/19,Drought-tolerant understory,NA
12/19/19,Drought-tolerant understory,NA
12/20/19,Drought-tolerant understory,NA
12/21/19,Drought-tolerant understory,NA
12/22/19,Drought-tolerant understory,NA
12/23/19,Drought-tolerant understory,NA
12/24/19,Drought-tolerant understory,NA
12/25/19,Drought-tolerant understory,NA
12/26/19,Drought-tolerant understory,NA
12/27/19,Drought-tolerant understory,NA
12/28/19,Drought-tolerant understory,NA
12/29/19,Drought-tolerant understory,NA
12/30/19,Drought-tolerant understory,NA
12/31/19,Drought-tolerant understory,NA
1/1/20,Drought-tolerant understory,NA
1/2/20,Drought-tolerant understory,NA
1/3/20,Drought-tolerant understory,NA
1/4/20,Drought-tolerant understory,NA
1/5/20,Drought-tolerant understory,NA
1/6/20,Drought-tolerant understory,NA
1/7/20,Drought-tolerant understory,NA
1/8/20,Drought-tolerant understory,NA
1/9/20,Drought-tolerant understory,NA
1/10/20,Drought-tolerant understory,NA
1/11/20,Drought-tolerant understory,NA
1/12/20,Drought-tolerant understory,NA
1/13/20,Drought-tolerant understory,NA
1/14/20,Drought-tolerant understory,NA
1/15/20,Drought-tolerant understory,NA
1/16/20,Drought-tolerant understory,NA
1/17/20,Drought-tolerant understory,NA
1/18/20,Drought-tolerant understory,NA
1/19/20,Drought-tolerant understory,NA
1/20/20,Drought-tolerant understory,NA
1/21/20,Drought-tolerant understory,NA
1/22/20,Drought-tolerant understory,NA
1/23/20,Drought-tolerant understory,NA
1/24/20,Drought-tolerant understory,NA
1/25/20,Drought-tolerant understory,NA
1/26/20,Drought-tolerant understory,NA
1/27/20,Drought-tolerant understory,NA
1/28/20,Drought-tolerant understory,NA
1/29/20,Drought-tolerant understory,NA
1/30/20,Drought-tolerant understory,NA
1/31/20,Drought-tolerant understory,NA
9/1/19,Drought-sensitive understory,61.7986465
9/2/19,Drought-sensitive understory,64.3044329
9/3/19,Drought-sensitive understory,62.2121853
9/4/19,Drought-sensitive understory,64.885775
9/5/19,Drought-sensitive understory,62.2677138
9/6/19,Drought-sensitive understory,64.2211159
9/7/19,Drought-sensitive understory,61.6223702
9/8/19,Drought-sensitive understory,60.4643595
9/9/19,Drought-sensitive understory,63.1677537
9/10/19,Drought-sensitive understory,61.181641
9/11/19,Drought-sensitive understory,59.9560641
9/12/19,Drought-sensitive understory,61.8701497
9/13/19,Drought-sensitive understory,60.3030042
9/14/19,Drought-sensitive understory,59.434779
9/15/19,Drought-sensitive understory,58.9408008
9/16/19,Drought-sensitive understory,58.6088298
9/17/19,Drought-sensitive understory,58.1795735
9/18/19,Drought-sensitive understory,57.7503796
9/19/19,Drought-sensitive understory,59.7775052
9/20/19,Drought-sensitive understory,58.3147669
9/21/19,Drought-sensitive understory,62.0619584
9/22/19,Drought-sensitive understory,60.3267487
9/23/19,Drought-sensitive understory,62.6088733
9/24/19,Drought-sensitive understory,61.2946014
9/25/19,Drought-sensitive understory,62.7600361
9/26/19,Drought-sensitive understory,61.8193345
9/27/19,Drought-sensitive understory,62.7285524
9/28/19,Drought-sensitive understory,61.2531189
9/29/19,Drought-sensitive understory,60.4897903
9/30/19,Drought-sensitive understory,61.8513905
10/1/19,Drought-sensitive understory,60.6189281
10/2/19,Drought-sensitive understory,62.300166
10/3/19,Drought-sensitive understory,61.0342217
10/4/19,Drought-sensitive understory,60.5447982
10/5/19,Drought-sensitive understory,61.9827875
10/6/19,Drought-sensitive understory,60.9074382
10/7/19,Drought-sensitive understory,62.0226593
10/8/19,Drought-sensitive understory,61.0469931
10/9/19,Drought-sensitive understory,60.6190186
10/10/19,Drought-sensitive understory,60.225325
10/11/19,Drought-sensitive understory,60.1885358
10/12/19,Drought-sensitive understory,59.8874061
10/13/19,Drought-sensitive understory,59.2714935
10/14/19,Drought-sensitive understory,58.7283285
10/15/19,Drought-sensitive understory,58.1260916
10/16/19,Drought-sensitive understory,56.8672865
10/17/19,Drought-sensitive understory,55.6401964
10/18/19,Drought-sensitive understory,54.3898095
10/19/19,Drought-sensitive understory,53.5250792
10/20/19,Drought-sensitive understory,52.3641335
10/21/19,Drought-sensitive understory,51.2408203
10/22/19,Drought-sensitive understory,50.4576549
10/23/19,Drought-sensitive understory,49.6803211
10/24/19,Drought-sensitive understory,48.8549505
10/25/19,Drought-sensitive understory,47.6914121
10/26/19,Drought-sensitive understory,46.2608857
10/27/19,Drought-sensitive understory,44.8207442
10/28/19,Drought-sensitive understory,43.5500951
10/29/19,Drought-sensitive understory,42.482448
10/30/19,Drought-sensitive understory,41.8328415
10/31/19,Drought-sensitive understory,41.2803131
11/1/19,Drought-sensitive understory,40.828101
11/2/19,Drought-sensitive understory,40.3744128
11/3/19,Drought-sensitive understory,39.7370598
11/4/19,Drought-sensitive understory,39.0900052
11/5/19,Drought-sensitive understory,38.4353987
11/6/19,Drought-sensitive understory,37.8693446
11/7/19,Drought-sensitive understory,37.4333394
11/8/19,Drought-sensitive understory,37.2204882
11/9/19,Drought-sensitive understory,37.1911461
11/10/19,Drought-sensitive understory,37.0845108
11/11/19,Drought-sensitive understory,36.9549616
11/12/19,Drought-sensitive understory,36.7607316
11/13/19,Drought-sensitive understory,36.424411
11/14/19,Drought-sensitive understory,36.2736588
11/15/19,Drought-sensitive understory,35.9440818
11/16/19,Drought-sensitive understory,35.5792648
11/17/19,Drought-sensitive understory,35.4143921
11/18/19,Drought-sensitive understory,35.333792
11/19/19,Drought-sensitive understory,35.1044535
11/20/19,Drought-sensitive understory,34.9923216
11/21/19,Drought-sensitive understory,34.9828623
11/22/19,Drought-sensitive understory,34.8859624
11/23/19,Drought-sensitive understory,34.7476073
11/24/19,Drought-sensitive understory,34.7279871
11/25/19,Drought-sensitive understory,34.514547
11/26/19,Drought-sensitive understory,34.4322445
11/27/19,Drought-sensitive understory,34.3179532
11/28/19,Drought-sensitive understory,34.3294283
11/29/19,Drought-sensitive understory,34.1595712
11/30/19,Drought-sensitive understory,34.2204981
12/1/19,Drought-sensitive understory,34.0414563
12/2/19,Drought-sensitive understory,33.8826351
12/3/19,Drought-sensitive understory,33.8165933
12/4/19,Drought-sensitive understory,33.7827743
12/5/19,Drought-sensitive understory,33.6785055
12/6/19,Drought-sensitive understory,33.5889711
12/7/19,Drought-sensitive understory,33.5307592
12/8/19,Drought-sensitive understory,33.5108186
12/9/19,Drought-sensitive understory,33.4683907
12/10/19,Drought-sensitive understory,33.5170231
12/11/19,Drought-sensitive understory,33.5132449
12/12/19,Drought-sensitive understory,34.4864946
12/13/19,Drought-sensitive understory,34.932598
12/14/19,Drought-sensitive understory,34.2884063
12/15/19,Drought-sensitive understory,34.7616185
12/16/19,Drought-sensitive understory,35.4067038
12/17/19,Drought-sensitive understory,36.0775482
12/18/19,Drought-sensitive understory,36.4969056
12/19/19,Drought-sensitive understory,37.7965491
12/20/19,Drought-sensitive understory,38.4125138
12/21/19,Drought-sensitive understory,39.1112425
12/22/19,Drought-sensitive understory,39.0581521
12/23/19,Drought-sensitive understory,39.6618402
12/24/19,Drought-sensitive understory,39.3283939
12/25/19,Drought-sensitive understory,39.9833949
12/26/19,Drought-sensitive understory,40.3351263
12/27/19,Drought-sensitive understory,43.1363119
12/28/19,Drought-sensitive understory,46.6568823
12/29/19,Drought-sensitive understory,48.1126772
12/30/19,Drought-sensitive understory,49.556456
12/31/19,Drought-sensitive understory,52.0255653
1/1/20,Drought-sensitive understory,54.6200248
1/2/20,Drought-sensitive understory,57.073581
1/3/20,Drought-sensitive understory,58.5027863
1/4/20,Drought-sensitive understory,60.4121637
1/5/20,Drought-sensitive understory,63.4560783
1/6/20,Drought-sensitive understory,64.4577878
1/7/20,Drought-sensitive understory,66.1665747
1/8/20,Drought-sensitive understory,67.0575991
1/9/20,Drought-sensitive understory,68.9754466
1/10/20,Drought-sensitive understory,70.1269982
1/11/20,Drought-sensitive understory,71.1618263
1/12/20,Drought-sensitive understory,72.2111852
1/13/20,Drought-sensitive understory,72.4182666
1/14/20,Drought-sensitive understory,74.3096611
1/15/20,Drought-sensitive understory,74.4895751
1/16/20,Drought-sensitive understory,75.8960316
1/17/20,Drought-sensitive understory,76.2083016
1/18/20,Drought-sensitive understory,76.627581
1/19/20,Drought-sensitive understory,76.6988249
1/20/20,Drought-sensitive understory,77.3547093
1/21/20,Drought-sensitive understory,77.264132
1/22/20,Drought-sensitive understory,77.8372537
1/23/20,Drought-sensitive understory,77.8023674
1/24/20,Drought-sensitive understory,78.1033539
1/25/20,Drought-sensitive understory,77.9958896
1/26/20,Drought-sensitive understory,78.2984245
1/27/20,Drought-sensitive understory,78.045351
1/28/20,Drought-sensitive understory,78.3429809
1/29/20,Drought-sensitive understory,78.2216135
1/30/20,Drought-sensitive understory,78.4556018
1/31/20,Drought-sensitive understory,78.2841856
